"","country.code","region","component","stimulus"
"348","VNM","ASIA","General spending",11990062849.13
"349","WSM","OECD+","General spending",25625367.67
"350","ZAF","MAF","General spending",1.7e+07
"351","ZMB","MAF","General spending",252434867.6
"352","ZWE","MAF","General spending",2e+06
"353","AFG","ASIA","Liquidity support",0
"354","AGO","MAF","Liquidity support",0
"355","ALB","OECD+","Liquidity support",240764891.5
"356","ARE","MAF","Liquidity support",0
"357","ARG","LAM","Liquidity support",8300000
"358","ARM","REF","Liquidity support",0
"359","AUS","OECD+","Liquidity support",2.3e+07
"360","AUT","OECD+","Liquidity support",9782608.7
"361","AZE","REF","Liquidity support",0
"362","BDI","MAF","Liquidity support",0
"363","BEL","OECD+","Liquidity support",56521739130
"364","BEN","MAF","Liquidity support",0
"365","BFA","MAF","Liquidity support",0
"366","BGD","ASIA","Liquidity support",6230066638
"367","BGR","OECD+","Liquidity support",0
"368","BHR","MAF","Liquidity support",0
"369","BHS","LAM","Liquidity support",2e+07
"370","BIH","OECD+","Liquidity support",301752802.2
"371","BLR","REF","Liquidity support",0
"372","BLZ","LAM","Liquidity support",0
"373","BOL","LAM","Liquidity support",0
"374","BRA","LAM","Liquidity support",7.1e+07
"375","BRB","LAM","Liquidity support",0
"376","BRN","ASIA","Liquidity support",0
"377","BTN","ASIA","Liquidity support",0
"378","BWA","MAF","Liquidity support",98039455.98
"379","CAF","MAF","Liquidity support",0
"380","CAN","OECD+","Liquidity support",5e+07
"381","CHE","OECD+","Liquidity support",40904675063
"382","CHL","LAM","Liquidity support",3e+09
"383","CHN","ASIA","Liquidity support",8e+07
"384","CIV","MAF","Liquidity support",0
"385","CMR","MAF","Liquidity support",0
"386","COD","MAF","Liquidity support",0
"387","COG","MAF","Liquidity support",0
"388","COL","LAM","Liquidity support",0
"389","COM","MAF","Liquidity support",0
"390","CPV","MAF","Liquidity support",32115245.29
"391","CRI","LAM","Liquidity support",0
"392","CUB","LAM","Liquidity support",0
"393","CYP","OECD+","Liquidity support",1630434.78
"394","CZE","OECD+","Liquidity support",36195652174
"395","DEU","OECD+","Liquidity support",1.115e+09
"396","DJI","MAF","Liquidity support",0
"397","DNK","OECD+","Liquidity support",10670259873
"398","DOM","LAM","Liquidity support",0
"399","DZA","MAF","Liquidity support",171535720
"400","ECU","LAM","Liquidity support",0
"401","EGY","MAF","Liquidity support",0
"402","ERI","MAF","Liquidity support",0
"403","ESP","OECD+","Liquidity support",0
"404","EST","OECD+","Liquidity support",1684782609
"405","ETH","MAF","Liquidity support",0
"406","EU","EU","Liquidity support",4.43e+08
"407","FIN","OECD+","Liquidity support",1826086957
"408","FJI","OECD+","Liquidity support",0
"409","FRA","OECD+","Liquidity support",3.8e+08
"410","GAB","MAF","Liquidity support",0
"411","GBR","OECD+","Liquidity support",1334166.67
"412","GEO","REF","Liquidity support",402508046.1
