"","country.code","region","gdp","component","stimulus","check"
"271","LKA","ASIA",88900770857.6351,"General.spending",40005346885.94,450.000000000047
"272","LSO","MAF",2738786277.79392,"General.spending",83075854.01,30.3330912249631
"273","LTU","OECD+",53429066429.1251,"General.spending",8695652174.48,162.751340340468
"274","LUX","OECD+",70885325883.0941,"General.spending",7180434782.62,101.296491102575
"275","LVA","OECD+",34409229177.9105,"General.spending",1084782608.67,31.5259200681657
"276","MAC","ASIA",55084050789.7182,"General.spending",6665170146,121.000000008062
"277","MAR","MAF",117921394402.361,"General.spending",3183877649,27.0000000011555
"278","MDA","REF",11443671435.9024,"General.spending",0,0
"279","MDG","MAF",13853432868.227,"General.spending",1.6e+08,11.5494839092888
"280","MDV","ASIA",5327457149.72581,"General.spending",227408031.1,42.686036641647
"281","MEX","LAM",1220699479845.98,"General.spending",7e+06,0.00573441712360131
"282","MKD","OECD+",12672131053.1578,"General.spending",25344262.11,2.00000000029075
"283","MLI","MAF",17163432832.0957,"General.spending",85817164.16,4.99999999997212
"284","MLT","OECD+",14553422928.8831,"General.spending",1404891304.3,96.5333936329038
"285","MMR","ASIA",71214803377.8284,"General.spending",26576995.41,0.373194815535703
"286","MNE","OECD+",5504166666.66667,"General.spending",210028336.3,38.1580626131718
"287","MNG","ASIA",13066749138.3261,"General.spending",261334982.8,20.0000000025621
"288","MOZ","MAF",14717223206.9,"General.spending",0,0
"289","MRT","MAF",5234817927.17087,"General.spending",2.9e+08,55.3982973304153
"290","MUS","MAF",14220348672.7333,"General.spending",321472721.7,22.6065287918295
"291","MWI","MAF",7064971176.34408,"General.spending",5e+07,7.07716970840829
"292","MYS","ASIA",358581943446.259,"General.spending",15518706429.01,43.2779918583263
"293","NAM","MAF",14521711633.9533,"General.spending",264471469.5,18.2121416652867
"294","NCL","OECD+",NA,"General.spending",0,NA
"295","NER","MAF",9290938457.2883,"General.spending",0,0
"296","NGA","MAF",397269616080.908,"General.spending",1.4e+09,3.52405505815193
"297","NIC","LAM",13117845416.6297,"General.spending",0,0
"298","NLD","OECD+",913658465709.125,"General.spending",63913043479,69.9528826993297
"299","NOR","OECD+",434166615431.909,"General.spending",19674146941.29,45.3147391853659
"300","NPL","ASIA",29040398982.3466,"General.spending",0,0
"301","NZL","OECD+",204923917869.355,"General.spending",20688342915,100.95621404325
"302","OMN","MAF",79276723016.9051,"General.spending",0,0
"303","PAK","ASIA",314588210501.063,"General.spending",9727141861.2,30.9202364758267
