group,country.code,country,region,ex.rate,lcu.stim,usd.conv,gdp.2018,gdp.share,total.stim.usd,non.health,health,business,deferrals,loans.guarantees,other
,MOZ,Mozambique,MAF,60.32620764,2000000000,33153086.83,14717223207,,3.32E+07,,3.32E+07,,,,0.00E+00
,MRT,Mauritania,MAF,35.6775,,290000000,5234817927,,2.90E+08,,,,,,2.90E+08
,MUS,Mauritius,MAF,33.93445,12409000000,365675589.3,14220348673,,3.66E+08,2.04E+08,3.83E+07,1.18E+08,-,5.89E+06,0.00E+00
,MWI,Malawi,MAF,732.3333333,,0,7064971176,,7.00E+07,,2.00E+07,5.00E+07,,,0.00E+00
,MYS,Malaysia,ASIA,4.035130137,62620000000,15518706429,3.59E+11,,1.55E+10,,,,,,1.55E+10
,NAM,Namibia,MAF,13.23394167,8000000000,604506216,14521711634,,6.05E+08,,1.66E+08,,,1.74E+08,2.64E+08
,NCL,New Caledonia,OECD90+EU,101.0961899,,0,NA,,0.00E+00,,,,,,0.00E+00
,NER,Niger,MAF,555.7178304,,0,9290938457,,0.00E+00,,,,,,0.00E+00
,NGA,Nigeria,MAF,306.0836882,,0,3.97E+11,,1.80E+09,1.40E+09,4.00E+08,-,-,-,0.00E+00
,NIC,Nicaragua,LAM,31.55321233,,0,13117845417,,0.00E+00,,,,,,0.00E+00
,NLD,Netherlands,OECD90+EU,0.92,97173913043,1.06E+11,9.14E+11,,1.02E+11,3.30E+10,1.00E+09,-,3.48E+10,3.33E+10,0.00E+00
,NOR,Norway,OECD90+EU,8.1325,1.60E+11,19674146941,4.34E+11,,3.40E+10,1.60E+10,-,-,-,1.80E+10,0.00E+00
,NPL,Nepal,ASIA,108.9301341,,0,29040398982,,0.00E+00,,,,,,0.00E+00
,NZL,New Zealand,OECD90+EU,1.445258333,36500000000,25255000548,2.05E+11,,4.50E+10,3.70E+10,0.00E+00,0.00E+00,0.00E+00,8.00E+09,0.00E+00
,OMN,Oman,MAF,0.3845,,0,79276723017,,0.00E+00,,,,,,0.00E+00
,PAK,Pakistan,ASIA,121.8240689,1.20E+12,9850270239,3.15E+11,,8.20E+09,4.10E+09,1.10E+09,0.00E+00,3.00E+09,-,0.00E+00
,PAN,Panama,LAM,1,1300000000,0,65055100000,,1.30E+09,6.70E+06,,1.50E+08,4.10E+07,,1.10E+09
,PER,Peru,LAM,3.286602698,,0,2.22E+11,,3.57E+10,1.54E+10,3.00E+08,0.00E+00,2.90E+09,1.71E+10,0.00E+00
,PHL,Philippines,ASIA,52.66142995,5.96E+11,11309985326,3.31E+11,,1.21E+10,7.00E+09,1.30E+09,0.00E+00,3.80E+09,0.00E+00,0.00E+00
,PNG,Papua New Guinea,ASIA,3.279036634,5600000000,1707818675,23497607690,,1.71E+09,,,,,,1.71E+09
,POL,Poland,OECD90+EU,4.19,,63961813842,5.86E+11,,7.21E+10,4.08E+10,2.20E+09,0.00E+00,0.00E+00,2.91E+10,0.00E+00
,PRI,Puerto Rico,LAM,NA,,#VALUE!,1.01E+11,,0.00E+00,,,,,,0.00E+00
,PRT,Portugal,OECD90+EU,0.92,,0,2.41E+11,,1.08E+10,,,4.02E+09,6.74E+09,,0.00E+00
,PRY,Paraguay,LAM,5732.104556,,0,40496953779,,9.45E+08,4.00E+08,5.00E+08,4.50E+07,,,0.00E+00
,PYF,French Polynesia,OECD90+EU,101.0961899,,0,NA,,0.00E+00,,,,,,0.00E+00
,QAT,Qatar,MAF,3.64,75000000000,0,1.91E+11,,2.06E+10,,,,,,2.06E+10
